index,a1,intercept,shape,scale,penalty,score
63,0.001,300,2,0.2,13881.11707717705,0.001417462754466393
64,0.001,300,2,0.4,16100.657158202286,7.29672455312809e-05
65,0.001,300,2,0.6,16741.39711230555,3.3432283196811516e-05
66,0.001,300,2,0.8,17172.156324924632,2.0114226320880745e-05
67,0.001,300,2,1,17642.406830381995,1.1717726255054008e-05
68,0.001,300,2,2,18581.185798042272,4.154621656262795e-06
69,0.001,300,2,5,19963.60637533729,9.890540715022062e-07
70,0.001,300,5,0.2,16172.673568604252,6.673652429513491e-05
71,0.001,300,5,0.4,17153.58967022863,2.0554156418623832e-05
72,0.001,300,5,0.6,17973.165086242247,8.081811787925043e-06
73,0.001,300,5,0.8,18195.26128512479,6.3217027428699375e-06
74,0.001,300,5,1,18660.159516294243,3.816743372832451e-06
75,0.001,300,5,2,19832.95898147723,1.1278457997797972e-06
76,0.001,300,5,5,20360.211761408955,6.673508016489041e-07
77,0.001,300,7,0.2,16778.89809088923,3.19691635862684e-05
78,0.001,300,7,0.4,17628.774707584955,1.190028734383578e-05
79,0.001,300,7,0.6,18351.674556489328,5.3270407702572535e-06
80,0.001,300,7,0.8,18589.79327232043,4.1163168365371955e-06
81,0.001,300,7,1,19103.173522765395,2.3872043001067987e-06
82,0.001,300,7,2,20152.37685027778,8.193594787114915e-07
83,0.001,300,7,5,20493.855145332567,5.854998066327542e-07
84,0.001,1000,0.1,0.2,12080.64783779611,0.022813688722225875
85,0.001,1000,0.1,0.4,13166.59142759484,0.0040788038100090145
86,0.001,1000,0.1,0.6,13799.412435641952,0.0015951006796405636
87,0.001,1000,0.1,0.8,13768.763221027333,0.0016676364142446498
88,0.001,1000,0.1,1,13849.084608004076,0.001484494626650666
89,0.001,1000,0.1,2,16438.709972872613,4.815543763057471e-05
90,0.001,1000,0.1,5,18139.2015989767,6.724138473250113e-06
91,0.001,1000,0.5,0.2,13868.734539891311,0.0014429898990245228
92,0.001,1000,0.5,0.4,16416.692764875537,4.946369885627932e-05
93,0.001,1000,0.5,0.6,17266.0234852294,1.8036549331168547e-05
94,0.001,1000,0.5,0.8,18019.152013738196,7.679147647557543e-06
95,0.001,1000,0.5,1,18261.13033995947,5.880941701992391e-06
96,0.001,1000,0.5,2,19579.48124469108,1.4587349181310605e-06
97,0.001,1000,0.5,5,20452.043468152784,6.099101462169608e-07
98,0.001,1000,1,0.2,14126.510511854833,0.0009983942253544618
99,0.001,1000,1,0.4,17554.696130542558,1.2945942515488354e-05
100,0.001,1000,1,0.6,18488.496321410283,4.591643650010059e-06
101,0.001,1000,1,0.8,18392.911922832904,5.093193505514679e-06
102,0.001,1000,1,1,18823.025856535663,3.207829106940245e-06
103,0.001,1000,1,2,19937.71326522771,1.0150631977183456e-06
104,0.001,1000,1,5,20536.511590528884,5.616509625632684e-07
105,0.001,1000,2,0.2,16832.01359767597,3.0010866411982624e-05
106,0.001,1000,2,0.4,17697.843573306545,1.1005073734243785e-05
107,0.001,1000,2,0.6,18492.224262052016,4.57316601101735e-06
108,0.001,1000,2,0.8,19304.423734540174,1.9358119367845027e-06
109,0.001,1000,2,1,19439.282073262788,1.68420738519745e-06
110,0.001,1000,2,2,20497.848032640846,5.832229690839825e-07
111,0.001,1000,2,5,20904.12125837365,3.9387796124321274e-07
112,0.001,1000,5,0.2,17561.884841148993,1.2840368856678041e-05
113,0.001,1000,5,0.4,18908.664539684956,2.9294282061843295e-06
114,0.001,1000,5,0.6,19705.04901571401,1.2836588225677361e-06
