index,a1,intercept,shape,scale,penalty,score
391,0.03,100,0.5,5,18051.05721,7.41E-06
347,0.01,1000,0.5,1,18054.30955,7.39E-06
342,0.01,1000,0.1,5,18139.16093,6.72E-06
90,0.001,1000,0.1,5,18139.2016,6.72E-06
205,0.003,300,7,0.6,18182.52525,6.41E-06
73,0.001,300,5,0.8,18195.26129,6.32E-06
221,0.003,1000,0.5,1,18215.71661,6.18E-06
245,0.003,1000,7,0.2,18226.13485,6.11E-06
307,0.01,300,0.5,5,18229.99033,6.09E-06
353,0.01,1000,1,0.8,18244.99541,5.99E-06
95,0.001,1000,0.5,1,18261.13034,5.88E-06
226,0.003,1000,1,0.6,18268.5675,5.83E-06
199,0.003,300,5,0.8,18284.78498,5.73E-06
276,0.01,100,2,0.8,18298.59428,5.64E-06
227,0.003,1000,1,0.8,18308.11751,5.59E-06
397,0.03,100,1,2,18348.48129,5.35E-06
79,0.001,300,7,0.6,18351.67456,5.33E-06
55,0.001,300,0.5,5,18358.96482,5.28E-06
446,0.03,300,2,2,18363.71661,5.26E-06
181,0.003,300,0.5,5,18372.95146,5.21E-06
354,0.01,1000,1,1,18385.14266,5.14E-06
101,0.001,1000,1,0.8,18392.91192,5.09E-06
352,0.01,1000,1,0.6,18393.26113,5.09E-06
233,0.003,1000,2,0.6,18407.11488,5.02E-06
194,0.003,300,2,2,18408.03201,5.01E-06
320,0.01,300,2,2,18416.63763,4.96E-06
332,0.01,300,7,0.8,18446.36123,4.81E-06
326,0.01,300,5,1,18467.47845,4.70E-06
200,0.003,300,5,1,18471.75261,4.68E-06
359,0.01,1000,2,0.6,18482.49758,4.62E-06
100,0.001,1000,1,0.6,18488.49632,4.59E-06
107,0.001,1000,2,0.6,18492.22426,4.57E-06
206,0.003,300,7,0.8,18500.3951,4.53E-06
365,0.01,1000,5,0.4,18568.47558,4.21E-06
68,0.001,300,2,2,18581.1858,4.15E-06
80,0.001,300,7,0.8,18589.79327,4.12E-06
440,0.03,300,1,5,18608.87677,4.03E-06
314,0.01,300,1,5,18637.65888,3.91E-06
74,0.001,300,5,1,18660.15952,3.82E-06
239,0.003,1000,5,0.4,18700.58701,3.66E-06
403,0.03,100,2,1,18722.93196,3.57E-06
333,0.01,300,7,1,18722.9407,3.57E-06
228,0.003,1000,1,1,18754.18897,3.45E-06
150,0.003,100,2,0.8,18796.44785,3.30E-06
