index,a1,intercept,shape,scale,penalty,score
177,0.003,300,0.5,0.6,13943.06498,0.001296686
728,0.3,1000,1,0.2,13946.51713,0.001290282
189,0.003,300,2,0.2,13953.53176,0.001277371
147,0.003,100,2,0.2,13964.21539,0.001257967
260,0.01,100,0.5,0.4,13984.74296,0.001221547
134,0.003,100,0.5,0.4,13999.05822,0.001196806
14,0.001,100,1,0.2,14026.4308,0.00115095
48,0.001,300,0.1,5,14029.44888,0.001146008
266,0.01,100,1,0.2,14030.12392,0.001144906
224,0.003,1000,1,0.2,14035.76442,0.001135739
386,0.03,100,0.5,0.4,14048.89349,0.001114699
140,0.003,100,1,0.2,14061.02484,0.001095621
183,0.003,300,1,0.4,14100.02847,0.001036574
304,0.01,300,0.5,0.8,14116.59181,0.001012518
98,0.001,1000,1,0.2,14126.51051,0.000998394
392,0.03,100,1,0.2,14128.36183,0.000995781
57,0.001,300,1,0.4,14146.92347,0.000969974
350,0.01,1000,1,0.2,14154.49845,0.000959644
261,0.01,100,0.5,0.6,14154.7178,0.000959347
387,0.03,100,0.5,0.6,14159.67577,0.000952651
135,0.003,100,0.5,0.6,14179.33204,0.000926583
9,0.001,100,0.5,0.6,14186.94695,0.000916687
388,0.03,100,0.5,0.8,14203.45928,0.000895607
393,0.03,100,1,0.4,14241.36916,0.000849112
178,0.003,300,0.5,0.8,14258.42436,0.000829028
267,0.01,100,1,0.4,14311.62641,0.00076952
52,0.001,300,0.5,0.8,14312.0799,0.000769033
262,0.01,100,0.5,0.8,14312.53236,0.000768547
15,0.001,100,1,0.4,14316.31256,0.000764498
141,0.003,100,1,0.4,14327.72832,0.000752408
389,0.03,100,0.5,1,14333.50202,0.000746369
814,1,300,1,0.6,14349.81646,0.00072958
136,0.003,100,0.5,0.8,14377.28262,0.000702205
510,0.1,100,0.1,5,14409.67251,0.000671302
593,0.1,1000,0.1,2,14416.10678,0.000665335
10,0.001,100,0.5,0.8,14516.75883,0.000578904
470,0.03,1000,0.5,0.4,14522.77846,0.000574124
688,0.3,300,1,0.6,14627.74939,0.000497107
467,0.03,1000,0.1,2,14666.29819,0.000471617
263,0.01,100,0.5,1,14683.68657,0.000460572
394,0.03,100,1,0.6,14700.41174,0.000450205
557,0.1,300,0.5,1,14740.83429,0.000426146
11,0.001,100,0.5,1,14756.70217,0.000417075
431,0.03,300,0.5,1,14759.80778,0.000415323
596,0.1,1000,0.5,0.4,14764.90946,0.000412462
137,0.003,100,0.5,1,14767.23478,0.000411165
719,0.3,1000,0.1,2,14925.70905,0.000332124
722,0.3,1000,0.5,0.4,15035.96879,0.000286663
436,0.03,300,1,0.6,15056.26512,0.000279033
268,0.01,100,1,0.6,15256.90065,0.000214128
400,0.03,100,2,0.4,15331.02965,0.000194345
142,0.003,100,1,0.6,15357.32513,0.000187797
16,0.001,100,1,0.6,15428.14989,0.000171286
574,0.1,300,5,0.2,15466.45593,0.000162999
395,0.03,100,1,0.8,15475.16741,0.000161173
448,0.03,300,5,0.2,15569.32577,0.000142759
442,0.03,300,2,0.4,15674.07003,0.000124843
562,0.1,300,1,0.6,15695.74253,0.00012144
525,0.1,100,2,0.2,15736.24616,0.000115339
305,0.01,300,0.5,1,15817.71895,0.000104021
322,0.01,300,5,0.2,15842.5365,0.00010081
341,0.01,1000,0.1,2,15844.96522,0.000100502
196,0.003,300,5,0.2,15900.99286,9.37E-05
316,0.01,300,2,0.4,15938.04807,8.94E-05
568,0.1,300,2,0.4,15984.31903,8.44E-05
